,n_unique,unique_ratio,variance,variance_score,stability_score,trend_score,correlation_score,final_score
tension_l1_v,1081.0,0.15137935863324464,6.024947295594894,0.29510917203764886,0.7470489792748378,0.00017710413173830888,0.3680608966294692,0.36369805518412807
tension_l2_v,1209.0,0.16930401904495168,7.610963840057238,0.3645176913634124,0.775973200506509,0.0001803453776577344,0.36616953797551993,0.39484446877445717
tension_l3_v,1117.0,0.15642066937403726,6.4356233650317725,0.3138240388340994,0.7563394459907096,0.00018581625081911659,0.3733122808235874,0.3736228945044935
tension_l1_l2_v,1845.0,0.25836717546562105,21.50273024222376,0.8044615056397335,0.7696630584926769,0.000182749938508139,0.36795206677695885,0.5476042549401693
tension_l2_l3_v,1834.0,0.25682677496149,21.252648640603418,0.7967950637461503,0.7671408314467763,0.00018651989772910287,0.3702573355774965,0.5447522512678917
tension_l3_l1_v,1710.0,0.2394622601876488,17.393217469008608,0.697309786758774,0.7431685050231208,0.00017360551647058105,0.36945079096311134,0.5037754309172675
corriente_l1_a,3686.0,0.5161742052933763,10772.499259287071,4.792597295783705,0.903109597828671,0.00018579892051833762,0.2171713722347474,1.9466578872125175
corriente_l2_a,4317.0,0.6045371796667134,19419.40953520725,5.969248372198721,0.8678649671867851,0.00010935170210769105,0.3634293924591991,2.3789109208985093
corriente_l3_a,4595.0,0.6434673014983896,17698.46433966064,6.293940059353399,0.8591354335647567,0.00011221454597909419,0.3565263640820383,2.4889905948904825
factor_de_potencia_l1,232.0,0.032488446996219014,0.002332288773434034,7.568421573976339e-05,0.7942344084773506,0.00014047412032448816,0.23055587754345397,0.24472436192760227
factor_de_potencia_l2,194.0,0.02716706343649349,0.0017460416864070944,4.739346180744623e-05,0.8148368234895829,5.956601937468592e-06,0.17276444851797204,0.23827987460801023
factor_de_potencia_l3,192.0,0.026886990617560565,0.0012196335887722958,3.2772295821740134e-05,0.771512590397773,2.165881042980001e-05,0.18222184952923412,0.2293383195709136
flicker_pst_l1_pst,10.0,0.0014003640946646128,0.02040304834158842,2.828412642446836e-05,0.187644766539812,3.0074594369535472e-05,0.12458474544024316,0.0718440550861241
flicker_pst_l2_pst,9.0,0.0012603276851981516,0.02160623219684177,2.6940923583071556e-05,0.1401994133753386,8.009487555735932e-05,0.10513019873069042,0.05610134138833828
flicker_pst_l3_pst,10.0,0.0014003640946646128,0.020771105303065078,2.8789143361224108e-05,0.1399993341284096,5.188293803791688e-05,0.12170114324470185,0.05936051496882678
distorsion_armonica_vl1_v_thd,16.0,0.0022405825514633807,0.09949602190687225,0.00021252354104634732,0.7892856128008605,0.00015400705522783042,0.29454395554407936,0.2563353789594428
distorsion_armonica_vl2_v_thd,18.0,0.002520655370396303,0.14349693116288664,0.00033799732720570164,0.7963221219779573,0.00016921791052595172,0.3103140370595825,0.261295480553033
distorsion_armonica_vl3_v_thd,15.0,0.002100546141996919,0.08991438636790663,0.00018085523429420874,0.7844366803790672,0.00017427265199393966,0.3037103971288172,0.256949403382932
distorsion_armonica_il1_i_thd,161.0,0.022545861924100265,23.073534217720137,0.0717209360824639,0.9033695103408818,0.0003022717118251239,0.3690411374072858,0.32481338703790497
distorsion_armonica_il2_i_thd,135.0,0.01890491527797227,7.245995948358338,0.03988422423983582,0.8055956269185633,0.00016058160537696871,0.33219892027078846,0.28183028558881645
distorsion_armonica_il3_i_thd,142.0,0.0198851701442375,6.3758413897417245,0.0397347454851931,0.7951503021407962,0.0001381746754153812,0.29146952449784574,0.27101627628966884
armonicos_il1_armonico_2_il1,65.0,0.009102366615319983,18.33903772314135,0.026962354382471205,0.9510116040042448,0.00035740926375172266,0.2827806974413363,0.3038173463759437
armonicos_il1_armonico_3_il1,76.0,0.010642767119451058,6.830184186319816,0.021902666083057895,0.8788846800860625,0.0003585124865674527,0.3437720699826382,0.29621321964442704
armonicos_il1_armonico_5_il1,132.0,0.01848480604957289,10.330286785152374,0.04487148565316128,0.836466891396775,0.00018615775422711758,0.3611585523243269,0.29709068484351103
armonicos_il1_armonico_6_il1,11.0,0.001540400504131074,0.07839807604879227,0.00011626431144716852,0.7946704374901841,1.003636013420376e-05,0.07851950800002726,0.21441421075358483
armonicos_il1_armonico_7_il1,48.0,0.006721747654390141,1.974952229148206,0.007328237376991436,0.8376916896669897,0.00025255760155086743,0.36832707741184345,0.2857037325013733
armonicos_il1_armonico_11_il1,3.0,0.0004201092283993838,0.001809921167738906,0.0,0.0,0.0,0.0,0.0
armonicos_il1_armonico_13_il1,6.0,0.0008402184567987676,0.025290904654818095,0.0,0.0,0.0,0.0,0.0
armonicos_il2_armonico_2_il2,9.0,0.0012603276851981516,0.0008337171586181034,1.050319042940082e-06,0.7418901767417756,7.841781443469698e-07,0.05354012277848489,0.19618109318843477
armonicos_il2_armonico_3_il2,41.0,0.0057414927881249125,1.0614248179036354,0.0041533809716529455,0.784782477189062,0.00011872684741515887,0.35968933154140226,0.26961091431510753
armonicos_il2_armonico_5_il2,119.0,0.01666433272650889,5.623970099676897,0.03150716895015788,0.803282434655276,0.0001524969855071815,0.32539390321684425,0.27695739783684453
armonicos_il2_armonico_7_il2,58.0,0.008122111749054754,1.6755427556262665,0.007993394626220602,0.8180114389697906,0.00022161598908057524,0.3361221927392348,0.2745693096072879
armonicos_il2_armonico_9_il2,4.0,0.0005601456378658452,0.00020301042977056383,0.0,0.0,0.0,0.0,0.0
armonicos_il2_armonico_11_il2,9.0,0.0012603276851981516,0.03031760806829383,3.764234820241128e-05,0.88117793543615,4.3369414801593916e-05,0.07418307618886476,0.23515294780164164
armonicos_il2_armonico_13_il2,15.0,0.002100546141996919,0.17456376344123983,0.00033797118086492,0.7759512297022159,6.144718213294316e-05,0.3209118974304483,0.25830076626137294
armonicos_vl1_armonico_2_vl1,3.0,0.0004201092283993838,1.2595431674980594e-05,0.0,0.0,0.0,0.0,0.0
armonicos_vl1_armonico_3_vl1,5.0,0.0007001820473323064,0.011124861091334728,0.0,0.0,0.0,0.0,0.0
armonicos_vl1_armonico_5_vl1,16.0,0.0022405825514633807,0.12515481711519505,0.0002642109315822104,0.8388783894369005,0.0002520504485071332,0.3978363189982004,0.2894297450746204
armonicos_vl1_armonico_7_vl1,12.0,0.0016804369135975353,0.06508539279036078,0.00010595991088790069,0.7891950030004355,4.6338885439168284e-05,0.29091541686033007,0.2555281878680735
armonicos_vl1_armonico_9_vl1,2.0,0.0002800728189329226,4.1999155074437e-06,0.0,0.0,0.0,0.0,0.0
armonicos_vl1_armonico_11_vl1,4.0,0.0005601456378658452,0.007920546008628912,0.0,0.0,0.0,0.0,0.0
armonicos_vl1_armonico_13_vl1,3.0,0.0004201092283993838,0.0011193627990336312,0.0,0.0,0.0,0.0,0.0
armonicos_vl2_armonico_2_vl2,3.0,0.0004201092283993838,2.0992516877917676e-05,0.0,0.0,0.0,0.0,0.0
armonicos_vl2_armonico_3_vl2,7.0,0.0009802548662652289,0.0031802174447709344,0.0,0.0,0.0,0.0,0.0
armonicos_vl2_armonico_5_vl2,19.0,0.0026606917798627644,0.1811636790271353,0.00044300550382239104,0.8582185236034925,0.00025733648008902354,0.40264512641967104,0.29529017540716296
armonicos_vl2_armonico_7_vl2,15.0,0.002100546141996919,0.08634901348860506,0.00017397257758331998,0.7851321877300627,1.0901952321108198e-05,0.2953060936241981,0.25540733644997365
armonicos_vl2_armonico_9_vl2,3.0,0.0004201092283993838,0.005814605522926159,0.0,0.0,0.0,0.0,0.0
armonicos_vl2_armonico_11_vl2,5.0,0.0007001820473323064,0.005098991620174186,0.0,0.0,0.0,0.0,0.0
armonicos_vl2_armonico_13_vl2,3.0,0.0004201092283993838,0.0019435402224186136,0.0,0.0,0.0,0.0,0.0
armonicos_vl3_armonico_2_vl3,3.0,0.0004201092283993838,2.098467170091675e-05,0.0,0.0,0.0,0.0,0.0
armonicos_vl3_armonico_3_vl3,6.0,0.0008402184567987676,0.012424440942880444,0.0,0.0,0.0,0.0,0.0
armonicos_vl3_armonico_5_vl3,17.0,0.002380618960929842,0.12860867354924047,0.00028802064133695105,0.849289372821905,0.00026314648702014916,0.3990554671627005,0.2922868731598883
armonicos_vl3_armonico_7_vl3,12.0,0.0016804369135975353,0.055991139264836315,9.154985755693626e-05,0.7684625940246426,1.1960885699385982e-05,0.282623939153609,0.24867487096416724
armonicos_vl3_armonico_9_vl3,2.0,0.0002800728189329226,2.8003359304791795e-06,0.0,0.0,0.0,0.0,0.0
armonicos_vl3_armonico_11_vl3,4.0,0.0005601456378658452,0.006777915199128245,0.0,0.0,0.0,0.0,0.0
armonicos_vl3_armonico_13_vl3,3.0,0.0004201092283993838,3.9083102783194206e-05,0.0,0.0,0.0,0.0,0.0
