,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
tension_l1_l2_v,-0.16069132022491053,0.3264219487074784,0.08307553682186691,-0.10319691671256519,0.06630649775714689,-0.05623068452593726,5.217098189609952e-05,0.025281375492743206,-0.058161203331328654,-0.12357407662250451,0.12300328610062848,0.058635607801366126,0.03440295177293271,-0.14406218182886044,0.40221358032314497,0.17305991388307668,-0.347726472161546,0.10031348602385805,-0.0241242235903287,-0.000974149596153241,0.01667962453129508,-0.11381037683390781,-0.03859883162217168,-0.14005288086782955,-0.04998839688798076,0.37435121020045353,0.41660997004476774,0.32303104508210023,-0.06744161554677579
tension_l3_l1_v,-0.16180904725389267,0.3158403922619707,0.07402252774804184,-0.14122590706484095,0.101958867844655,-0.0765200948831027,0.003750146622254908,0.009098590998268128,-0.05102009549900289,-0.13364537538339255,0.13236320289585593,0.19000020566002498,-0.20692545980180624,0.08223877724498978,0.4989027664969007,0.07760847227433904,-0.07014402622094652,-0.04404832174199448,-0.005242814373898754,0.14405125497420965,-0.15315551518788248,0.13566146449084193,0.13039801278584776,0.05588744719735964,0.02806541345105687,-0.31424403687133007,-0.39701583069234125,-0.3171100153988365,0.07971490791245062
corriente_l1_a,0.07469620502461581,-0.05119066504345813,-0.29987464967747557,0.5309869337551772,-0.048132838987420455,-0.022854390397177782,-0.022068016230855945,0.10852908584813901,0.19636807145431096,0.051158338994279726,-0.03777127699418019,0.012228044915380194,-0.1038309947115727,-0.2734196235590375,0.06234340496318418,0.3785590606892029,-0.09573217935088725,-0.07256498575923653,-0.0016941579133523846,-0.005084680446149237,-0.2537837735125652,-0.0215727793037562,-0.025790133504724415,-0.15812158414057417,-0.012656021887782028,0.2845657228255397,-0.16655076516681133,-0.2913931957021992,-0.17479018391225912
corriente_l3_a,0.19944875656779548,-0.12259092265116212,-0.3154509172978808,0.13545087357954927,-0.10136372872573596,0.07692210032616367,-0.02150652107850242,0.005207193905484114,0.07224469419530719,0.15998695751024136,-0.18217225694373854,0.05621490317855479,-0.09776245758527621,-0.09154720672052327,0.30393116955599664,0.2395609488486612,-0.03136858058878555,-0.13128535584697967,0.010148482518734283,0.1388504610429578,0.16576078054984708,0.1659336135440281,0.15044479939015368,0.3475544664433449,0.03444577032738853,-0.3571881132418932,0.26157886932052776,0.325916734356977,0.19061614398186197
factor_de_potencia_l1,-0.1339245789628356,0.05855980305125611,0.3613229454720334,0.2525312621460992,-0.21431071522429468,0.04329433183430441,-0.0017213296472737235,-0.03196292851525545,0.10338507708209016,0.15514106983117876,-0.19865137604073146,-0.0018899098088643953,-0.22779398649910756,0.25074139890957287,0.3036276671344025,0.013586106950264902,0.33111994436087866,-0.24468025752629669,0.09579857518817463,-0.3377413071457103,0.2175960981085448,-0.18081435637676632,-0.11563024710890202,-0.1040735276065137,-0.045977549381766444,0.048497625384079784,0.16563067330836861,-0.13366537807634546,0.08577212263338262
factor_de_potencia_l2,-0.03019248337132203,0.08327600136527287,0.4390241209767198,0.06835003223725673,-0.24404031649545754,0.0881283553739105,0.0014525717052195537,-0.06730115743637571,0.028639646376302345,0.12558921420693778,-0.19267395144301083,-0.0024054454037785167,-0.08804901900594293,-0.11417755726972631,-0.06799799105499538,-0.10446312529881516,-0.0938609312166846,-0.06505534207365406,-0.29237927325447344,0.05357426132203164,-0.3595373642577121,0.1431978543893364,0.1580242012668342,0.4868051321353382,0.03504002865355298,0.263167945717861,-0.13403686603962536,0.16108829209328654,-0.07291373974372227
factor_de_potencia_l3,0.011268286188929106,0.1048132710540466,0.43545168129921913,0.1574280543346495,-0.18040890029322537,0.08549672703540812,-0.009304901314292933,0.001299699452379236,0.055465127978754754,0.07570195374481284,-0.14184821782610046,0.07921257690703774,0.09848122011214751,-0.2588311948412921,-0.15142224756712735,0.13239110996169812,-0.19718628260506188,0.2538388099063488,0.37729247589193593,0.3350612629086081,0.3499411663902742,0.17224426090293948,-0.0047864181761505,-0.192210774177934,-0.017584073432929344,-0.14940031565152156,-0.10592613379034437,-0.03621734018243619,-0.0006558246656778177
flicker_pst_l1_pst,0.005048082540523227,0.15819660953838027,-0.018061421268896132,-0.1379184262873693,0.4003654927564268,0.0026710544912349433,0.026874737844815148,-0.2607246219945746,0.734990009146801,-0.1285261660790222,-0.4022345781765625,-0.02013206947385745,0.05844913309602367,0.023911755194613197,-0.02175124307166915,-0.03957477038187623,-0.00822466579572538,0.036064757078736784,-0.008659172600496657,-0.0034894447156061884,-0.007841094439433913,-0.007342626763477153,0.0035114959301795986,-0.0007110630117621912,-0.0034716433494418777,0.0051002021804588136,0.0020295384702606503,0.00341917251016937,0.0030374548200359044
flicker_pst_l2_pst,0.019502127784465566,0.11840208159754814,-0.0412309186388665,0.27944240307959073,0.30511431477561757,0.409009932734968,-0.03445583175742103,-0.19516914875643415,-0.5085204332551196,-0.4133094869931089,-0.41383331540402496,-0.05397313407615824,-0.03486254903977688,0.013078294166830992,-0.023869305805620827,-0.010909976347676664,0.014312271906293967,-0.007481763008758246,0.0015697563845396777,-0.01415445578501673,-0.0003285806069847449,-0.0006213782860955686,-0.002414480365907756,0.0009264806515743748,0.0017835761268026372,-0.0011106650209947205,-0.0006089671001818076,-0.003274779030880791,0.00029908081671656245
flicker_pst_l3_pst,0.01864200557073556,0.15416655487937042,-0.0169077417036524,0.1088423300005267,0.19129392545882457,0.5516524977271321,-0.08831020960332467,-0.41387388281180787,0.08468846548042755,0.41552258344724385,0.5043013817176663,-0.07065238839555081,-0.0483046086667633,0.031084340246542625,-0.018444845189025023,-0.009915152077713178,-0.021948279262970105,0.012150728000690976,-0.002146870262031761,0.006491051447395082,0.011669118184579285,-0.0002857661662061715,0.003883601345283794,-0.0012182710164693432,0.0050454885537732355,-0.0015856573592613408,0.00046968811708069416,-0.0026280752628964174,-0.0018921033871255489
distorsion_armonica_vl2_v_thd,-0.07650294599279824,0.3776661106684955,-0.09927384155730677,-0.027222632664607168,-0.07141348515253537,-0.06263913369817169,0.0015970680921907681,0.051419456055130916,-0.03779982669298052,0.05742632449315531,-0.027897632040316638,-0.1794342381865737,0.12352032834653483,-0.05769429977503671,-0.13367811368900012,0.19956044692662367,0.049633970656846535,-0.003494441390829943,0.0371575434041511,-0.1824915480725548,0.11396925586105841,-0.1304999608815479,-0.09051135538908936,0.13307623989637107,0.7755521835494416,-0.020253329141232235,-0.1247068009462967,0.04316392161721556,0.05367332714362476
distorsion_armonica_vl3_v_thd,-0.07529637234837505,0.3719252828019522,-0.12097996819153685,-0.023903180750059334,-0.0728379521146829,-0.0672369144567863,0.0008459018483167965,0.049703029982363374,-0.038650304470052695,0.0706058690923236,-0.038412944999937394,-0.08979823351067219,-0.02017534555152993,0.19365937726028348,-0.24006315998468863,0.17560902519079316,0.3356618338548406,-0.08949324476933895,0.05710164743912042,0.18820472093062615,-0.05567045419467933,0.06040714812243403,0.6459748783754814,-0.2227155549102705,-0.1573163061659747,0.10258692022517288,0.07538944679288488,0.10949284279054566,-0.012681965809835737
distorsion_armonica_il1_i_thd,0.3001833009273159,-0.006692366298468787,0.026312900748502364,-0.24295533764655664,0.03353892378554045,0.049589127348507706,-0.004195075280812176,-0.04477816334296124,-0.05434612833979693,-0.008558236484727423,0.0008558219195191624,0.18424117977775012,-0.0745697808886909,-0.1014808842491874,-0.04939652553483829,0.22576025012143633,0.10409340116247967,-0.08416976264329878,0.23142733639135052,-0.11835911416466387,-0.07130737376198244,-0.03144481369167877,-0.11044417815501469,-0.026246359337069293,-0.125981121354064,0.3365346792166758,-0.30757220295066817,0.17245249724141992,0.6167371811887161
distorsion_armonica_il2_i_thd,0.28210569302631894,0.10129079933535967,0.1603233577929788,0.08177013541277853,0.08617993943511525,-0.12055034834688669,0.015827884292203904,-0.008748938573354221,0.021889403678704553,-0.08911047576467054,0.11343736457826964,-0.04606005515731085,-0.14564246939595926,-0.12168077112000253,-0.0016121688002355085,-0.003138307129335926,0.10324255883039371,-0.30274915395160584,-0.011324443697819394,-0.06172858231595968,-0.06341644830588826,-0.09777224659790636,-0.13729592132402318,-0.23482213462744345,-0.04408299999682829,-0.2808435355615449,-0.28115176746205045,0.5396327887970497,-0.38877595567971124
distorsion_armonica_il3_i_thd,0.24857826680639555,0.1487976734520477,0.2272594170439791,0.07951963495037644,0.015407979915707635,-0.09627646471214747,0.01712702274957059,-0.012650894683434045,0.008874925154191134,-0.08285695002138352,0.0958787012028042,-0.15295850914434078,0.07177239121346854,-0.2452333572748889,-0.13810457865092718,-0.06243423404164123,-0.0820734313830603,-0.2553469229134283,-0.1369898466154237,0.050656931806800656,-0.3389309402767642,-0.05594978884267159,-0.0039261341954740635,-0.1815160340615569,0.05814205352595692,-0.2910363076287413,0.42578164583163125,-0.2537207825647944,0.3773034871751169
armonicos_il1_armonico_2_il1,0.2155351041918356,-0.047922748038054554,0.0563896625281325,-0.47916773882611857,-0.0741391163653225,0.17750147451854248,-0.01180677290383535,-0.10832320934758609,-0.10934965172116078,0.10665249788352624,-0.16080233933175067,0.25906439564832323,-0.12907861524042705,-0.2730603109703333,0.0033887996341669647,0.3007016670109658,0.2798597602700799,0.14718289609494792,-0.11933534943491661,-0.07257748851440798,-0.07021252107479849,-0.08170580311806541,-0.005072621367816729,-0.054480671759216164,0.059290075642776295,-0.07333335923900083,0.19883762347797454,-0.2367724997590709,-0.36475584786623727
armonicos_il1_armonico_3_il1,0.2622413793629033,-0.021992814344107575,-0.0395998452232588,-0.272758302304572,-0.16280584483484972,0.08337648814963654,0.0024661431836388776,-0.09643342767717969,-0.10308341759812496,0.19066293809904886,-0.2256179390041128,-0.36271680868938555,0.3352971047583319,0.2256760278749153,0.2150825192260129,0.04452125995968962,-0.31261178965368935,-0.3854555794365505,-0.015623067599722281,0.13470592308004747,0.07228112621623313,0.012907491197955765,-0.01947083650053417,-0.1481461095136928,-0.03970024387919475,0.1197092250745192,-0.14771025014758943,-0.15431960856845506,-0.13048760397748932
armonicos_il1_armonico_5_il1,0.30074612313723137,0.06090879804198347,0.05364466594091534,0.0011892611537485075,0.1398513519009444,-0.08769433709958344,0.004303669557309067,0.03452085631984557,0.008647694412977771,-0.14787154122159593,0.16839525024450008,0.16140562357622082,-0.09032531344871013,0.10221440185501426,-0.0853377559047242,-0.11060518068067146,-0.10555992720469558,-0.2670950840362285,0.5723980278991482,-0.07938684711681748,0.030695453715399935,0.0919204897680669,0.13421391624996307,0.3574644515603536,0.09249436738334178,0.16595260764406214,0.20626737751726587,-0.1872058826564034,-0.27337486488768925
armonicos_il1_armonico_6_il1,0.06106745515056671,0.042335444702420004,0.05094574677750905,-0.143085915667542,0.04209237903000346,0.5259817987864325,-0.1686574784848795,0.7421555344598137,0.2069359279832367,-0.11879428020663717,0.02858605185795926,-0.1853125148361201,-0.1305609003166096,0.011608165585459124,0.00965477894870657,-0.05449828265472788,-0.0011604133117265932,-0.012190035442239565,-0.025403951776349836,0.013692088048363476,0.010304778967841127,-0.011039398460748126,-0.0022349656386735023,-0.00920639000171946,-9.9047953568016e-05,-0.002472482237789506,-0.002477230361363426,0.00429682833327546,0.008525799274173237
armonicos_il1_armonico_7_il1,0.2944783616304199,-0.01616088557193973,0.11141818109803717,0.05357997600789163,-0.03882997325816048,-0.09792823262219509,0.01833421811932098,-0.03632414785849688,-0.006627777650024929,-0.009108830215805587,-0.0005589548762644503,-0.3991181571183464,-0.13679938698747096,0.39365276361535334,0.08269507359673287,0.23704163992840532,-0.038697670549166334,0.5637226962159401,0.1764715050698364,-0.09231644816526452,-0.3238010322777894,0.000979491790674622,-0.06207662816453957,0.055605550592168936,-0.03421648193065693,-0.10649643335365032,0.05075528865753375,0.052081518467528794,-0.01781017441052531
armonicos_il2_armonico_2_il2,0.009650126278446622,0.01778209392621787,-0.011130449441426452,0.013679687681883252,0.019984103425478537,0.1701340343098344,0.9785031544278124,0.10315269317380424,0.009109725020966679,0.028482555192516093,0.028464005397281063,0.0016850520107659322,-0.003989961145349268,-0.0005831052130291928,0.008581507540956155,0.0042502470958330355,0.0007263577738733044,0.0010783114603227395,0.0007669735161626838,0.0011628599254985064,0.0010470316194354972,0.0009381280704484681,0.0008503808331447034,0.0011096881565840796,-0.0010145934239027734,0.001240987715635728,-7.916863999225072e-05,-0.00030246904326846355,-0.0005642725137520706
armonicos_il2_armonico_3_il2,0.2809434276150753,0.11093693021392433,0.03239489472859095,0.16664841001879802,0.025051044180622248,-0.009428932073471608,-0.01572155975296136,0.06803766522381664,0.019247451199386423,-0.0446772308626971,0.0969072633508975,-0.007865517779706345,0.5573114364935299,-0.1673614843381057,0.379589728778209,-0.2233555007523482,0.5024843455562377,0.19124364021108803,0.0005244348179224138,0.09917197906995599,-0.0030482277328746643,0.037924010267490746,0.013855631364422154,0.10565545162880237,-0.009968220553163515,0.1220470086126174,-0.043922348481675984,-0.024686762931909086,-0.026693454214435745
armonicos_il2_armonico_7_il2,0.2721291226919234,-0.03952488969013114,0.14550206681711764,0.02779726180082146,0.19595166185607438,-0.20798459552366144,0.032576681106938774,-0.03821052255200178,-0.012759768764711618,-0.1422841045102907,0.17036888434038813,-0.2770648970563946,-0.30272431197731,-0.06252267073390005,-0.01691249547927573,0.12743180253690822,0.0425206251388074,0.041380253943547246,-0.4203270675227759,0.10881503957746724,0.5387305445487637,0.06695189266710529,0.10768225669509705,0.10636234819682305,0.0035284861216272516,0.20474045023797152,-0.042142187193111816,-0.15849079000239202,0.03880872386843703
armonicos_il2_armonico_11_il2,-0.004665694282392441,0.019082716793074016,0.10550167899259187,0.039467944013742935,0.5947396960991783,-0.21914513364561844,-0.013527536986429167,0.2903511040510208,-0.23166049923233892,0.6178233261161906,-0.2279095646344795,0.02033803749161561,-0.020919312998738733,-0.05164696591632409,0.018134088276644512,-0.06050535088194024,-0.03232735988176389,0.034792024514748776,0.026847886193004464,-0.016082054561207388,-0.047192782106016726,0.000781551781909565,-0.0063200028732428295,-0.0006686416503175886,-0.01454450498516081,0.0036875555136725597,0.006700874489408603,-0.008232640827085294,0.005892222878032255
armonicos_il2_armonico_13_il2,0.25790300438163904,0.13005347724248437,0.09724582708378997,0.17904134190527843,0.022841039933140062,0.0395371345295238,-0.027598843179780085,0.13672112317137924,0.03794458256767428,-0.01028193793142643,0.03662949036351048,0.5404163661524491,0.29635940174609393,0.4578105249986396,-0.16388872576507957,0.22204704090550842,-0.17874003901175603,0.029238495965345654,-0.3553911802194552,-0.11501528182676705,0.08223926874573374,-0.014860128639537933,-0.017318596444668884,-0.01356747507994599,-0.006222648993221299,-0.07163060682819136,0.003500514363919155,4.30033615661414e-05,-0.0038883493314529087
armonicos_vl1_armonico_7_vl1,0.16384557075796985,0.2871231091319867,-0.2040540825185869,-0.019870052640961797,-0.16130301050625262,-0.02712966901086921,3.4650794078880994e-05,-0.00018338771866905192,-0.01820751497106705,0.08088387100516872,-0.08394236894862143,0.024947500442418027,-0.1560010985334875,-0.06330736598933251,-0.0021184662444473125,-0.30264281149627226,-0.059815058983181776,0.10706446356383105,-0.08089462507376335,-0.3723548834215407,0.05386501151501039,0.6758591020247728,-0.11043630584495549,-0.22705511934311004,-0.01353017849317974,0.04510151754868266,0.037941460765376876,-0.010641118262205106,-0.0019230028956204789
armonicos_vl2_armonico_5_vl2,-0.23495767616927848,0.2615796664026052,-0.01704375424962626,-0.05350158121509603,0.04433866434674126,-0.05396177836814034,0.0005787943392867981,0.05436156767262873,-0.030059790059684427,-0.025192853633751233,0.06479628357407703,-0.18599587539417994,0.18610534267099563,-0.04025154523184903,-0.18831289162238554,0.3631780720948928,0.15224334981020277,-0.15623763327057963,0.006774173712757351,-0.03491926957706127,0.030398325142382457,0.2199099816818012,-0.43769771702692584,0.34125045126296594,-0.43855042850464226,-0.09926614218832353,0.053069038370434335,-0.07224129047677479,-0.07108828089491476
armonicos_vl2_armonico_7_vl2,0.14149884098210513,0.3183268431725686,-0.17295869319641433,0.012597864678302994,-0.1693465036488724,-0.028360345550046497,-0.0008260854488052521,0.012862245625176166,-0.023142792770411216,0.07372359826139258,-0.07352763328364029,-0.0392246608493797,-0.013005987377588093,-0.21562999244409323,-0.05142502929856824,-0.20434745805660667,-0.22416722721525092,0.1638253972549008,0.004318535683447391,-0.2969186838991098,0.15913024735928613,-0.5073033449519058,0.18594532539135264,0.20747140853408427,-0.36878940046349407,-0.15480211098158456,-0.13751541266874806,-0.10202637115947988,0.0091153752442913
armonicos_vl3_armonico_7_vl3,0.14864876739461794,0.29372415616620334,-0.20739850699150017,0.02174764124582415,-0.14228526411804504,-0.050431792326859085,0.0019619728803829855,0.004203030674682977,-0.01489291285927993,0.09303019501997455,-0.09615934785071696,0.1357231223625035,-0.2984964543466788,0.17697064130748086,-0.06844810821355908,-0.24337022865024152,0.09787405642736925,0.03026972408018143,-0.029592190505967474,0.5828855075479361,-0.024750282778302737,-0.19825162046108116,-0.43647945259959187,0.03212399090723733,0.023554901573793755,0.1200766560148395,0.08026987070543448,-0.021055309269001524,0.0025830293354946084
